DOC_ID,DOC_NAME,TOTAL_LIVESENDS,TOTAL_CLIENT_OPENS,OPEN_RATE,CONTENT_TYPE
002ea2dd-ed2c-44d4-8a85-dad98b992927,TSS MVS Client Retellable Leave Behind,1,0,0,Client Presentation
fc9c01ea-428b-43cb-98c9-05c88f1b2e3b,STD Invitation Think Digital Summit Finland,1,1,100,Event
c0ebe417-865f-4426-853b-e351c5256870,IBM Cloud Satellite: Beta,1,1,100,Expert POV
3e7d8c62-57da-4f15-9de9-6ed7d21663f6,Decision Optimization - Industry PoV: Banking,1,0,0,Use Case
ea046f3f-6dad-4358-a671-cd5aaaabbb34,Storage for Healthcare & Life Sciences Public References__Sept._18_2020-Apr-16,327,1,0.31,Case Study
2397bf74-7f17-4d9d-bbbf-e556edb73819,Smart Identity for a Hybrid Multicloud World client presentation,1,0,0,Seller presentation/Enablement
42d26b89-a0d1-429b-8839-8162ddfcfca1,IBM Storage for Red Hat OpenShift Container Platform - Solution Brief,5,2,40,Solution Brief/Data Sheet
c3fe5ff1-fcaf-4be7-9c65-549c66f362e3,IBM Spectrum Protect Plus,47,1,2.13,Client Presentation
7f83fecb-b124-4c2d-9c29-23e1884e9c7b,COVID-19 Client video - Storage Insights Pro_2020-Apr-06,10,1,10,Announcement
a10a0d0a-39fc-4c52-adf3-8857c554a655,O11_MCMP Client Presentation,1,1,100,Client Presentation
6b377e31-6a36-46d7-b530-a3fce2121623,Privileged Account Management for Dummies,14,3,21.43,Demo
cca77447-d5d9-41e1-82db-331db694eeb5,Think Digital Summit Nordic invite - FI,9,2,22.22,Event
2cb6a452-08d1-43df-b9fe-14cf745d4605,COVID-19 Client video - Spectrum Protect Plus_2020-Apr-06,1,0,0,Announcement
32691c4f-9853-4191-970a-3c69e769f63d,IBM TS1160 Tape Drive Data Sheet_2020-Aug-07,3,2,66.67,Solution Brief/Data Sheet
7727fe5f-a501-4466-9307-2066a36080a3,OpenVPN par IBM,2,2,100,Client Presentation
2a1db87e-d8f7-4071-a001-5145c7fbe48a,On-Demand Invite for Federal Clients,49,0,0,Event
37242e36-665b-42d5-8bec-f6d9f0a02820,Sysdig+MCM Solution Overview Brief,5,2,40,Solution/Product Overview
abafd214-bbfa-44d0-8de3-22677a7ce3c4,On-Demand Invite for State and Local Govt Clients,18,1,5.56,Event
3f74eb3e-76d2-421a-b77f-7d1ec803eded,IBM Resilient Incident Response Platform - Data Sheet,1,0,0,Solution Brief/Data Sheet
4290e491-b1bd-4386-bd21-ddd697b680f6,IBM Guardium Data Protection V11.1 Client Deck,4,1,25,Client Presentation
2b8b4109-3581-49f3-976a-8bdec1217c77,COVID-19 Client + BP Letter  -  Canada French,1,0,0,Template
f06a1432-c542-423f-bf86-ca0c0bc6e66a,Engineering Test Management solution brief,1,1,100,Solution Brief/Data Sheet
16d03f32-d05f-4c61-979c-f2f3464339b5,Watson Works analyst presentation,1,1,100,Client Presentation
85f024a1-dd29-4fd4-966b-32f8d0582c04,Why Red Hat OpenShift for hybrid multi-cloud,1,1,100,Roundup/Summary
38c4f9a4-c431-4c3d-9db9-5553f4293714,IBM Resilient - Overview Summary,1,1,100,Solution/Product Overview
d35c198e-3a44-4639-ad5f-90713d8a5b95,Think Business solutions for COVID-19_cybersecurity,1,1,100,Client Presentation
2fd4afd6-38bd-4562-a3b0-7c263c8f1850,ASPICE Smart Paper: Automotive Software Performance Improvement and Capability Determination,1,1,100,Solution/Product Overview
d281dd47-4c60-443c-8ea5-c0ed811146fd,Customer Presentation - Exploit the Full Potential of Real-Time Analytics in Your Data Lake,1,0,0,Client Presentation
b07192bd-7e06-4f31-8b58-662acd68dcce,IBM Spectrum Scale CSI documentation_2020-Apr-27,1,1,100,How-to-Guide
f5fd97a5-c5dc-4f7a-9338-ad5d948071ab,Short Client Deck - Hybrid Multicloud Solutions for IBM Systems_2020-Sep-08,3,2,66.67,Solution Brief/Data Sheet
4f2a0f0c-6ba2-4449-98d0-5b03031e8b13,High Performance Data and AI Client Presentation 4.17.20,1,0,0,Client Presentation
6c83b761-15b5-4449-9038-64d0de73c47d,Digital Reinvention for Banking Exec Client Presentation,1,1,100,Client Presentation
3b1d5b56-4ba6-474b-9fdd-f7a6de14e3db,Intelligent Automation,1,0,0,Client Presentation
3d0b75a4-afdc-453e-94cb-5801548bdb7d,AI for EMR adoption,3,1,33.33,Client Presentation
d2f66050-a6f5-4dd3-a0ca-40c9293b6690,IBM X-Force Threat Intelligence offerings overview,1,0,0,Seller presentation/Enablement
52251437-7e4f-4b03-b171-807fdf25843f,New i2 Connect - Offering Overview,1,1,100,Client Presentation
febb4221-eae8-4c7b-8bde-5d03d566a1be,Spectrum Virtualize Client Presentation_2020-Aug-18,2,1,50,Client Presentation
f393dc67-8ebf-4291-b32e-02ab10ee174c,Watson Ads - Covid Thought Starter - Beauty,1,0,0,Client Presentation
38134cb9-6cae-4460-8aff-3be43e853aa0,Storage Skills for Programs Overview for IBM Resellers_2020-Aug-31,6,5,83.33,Training/Course
c385d67c-96d9-4042-ae50-2581da3b96cb,The_Total_Economic_Impact_Of_IBM_Spectrum_Virtualize_2020-May-20,3,2,66.67,Research Report
a48c9d51-4173-4cb1-8ea3-08acf063d29f,Client Deck - Red Hat and Power Banking Play Jul-01-2020_2020-Jul-16,1,1,100,Sales Play
2a66bd05-8e1b-426d-b663-907d1ea5e0cf,CMOD - Indepth Recorded Presentation and Demo,3,2,66.67,Demo
33d4ac99-dc99-4b11-bcd4-4a5ca471385c,IBM Advertising Accelerator With Watson - Creative Spec Deck,1,0,0,Client Presentation
c7572717-e6fe-46f2-947a-adf2fcf1fa4b,NEW! IBM Security MaaS360 sales presentation,2,0,0,Client Presentation
d6c4e43f-8bff-4c90-898e-1477290925fa,IBM FlashSystem 5000  VITO Letter US English_2020-Feb-06,11,0,0,RFP/Proposal
bd80088f-9bd3-4442-8677-7c923406f56b,Point of View - Financial Services: Data & AI at the core,1,1,100,Expert POV
639dd135-319b-48ad-9949-d88f488759a6,IBM i Solution Edition Client Presentation_2020-Jul-09,2,2,100,Client Presentation
69215c72-b828-4594-9724-70b52b56dd59,Storage Insights Getting Started Guide_2020-Mar-30,1,0,0,How-to-Guide
9b3addf5-ca0c-48c2-be3b-585583d8d02e,Value-based health: Six approaches to better outcomes Dynamic Whitepaper,46,1,2.17,Expert POV
c4a571cc-681d-44ed-b513-0baaec1bc96b,Spectrum Virtualize for Public Cloud V8 3 Client Presentation_2019-Jul-29.pptx,1,0,0,Client Presentation
9940dea5-c779-43fa-9c1d-4fd735dd248c,IBM i2 Analyst's Notebook solution brief and data sheet,1,1,100,Solution Brief/Data Sheet
739c34bf-0410-44c0-9e93-a08a3562229f,2020 Fall Virtual TechU WAAG-07_2020-Aug-25,2,1,50,Event
e7b9e031-1d57-4332-ab70-df401b301a80,Technical strategy field guide,1,0,0,Client Presentation
059e6727-a724-4a9a-86f2-a140020fef56,Exercise 4 - Text Table,1,0,0,Case Study
2c170562-b25a-4800-b3fe-f925bc6922e9,Ansible Automation Platform for Power Demo Video_2020-May-04,1,0,0,Demo
57a0b422-5206-4bdf-b937-7438adb99950,Invitation to IBM@Sibos2020 09212020,2,0,0,Event
ce438da3-27f0-4b65-87d3-4ee8468e4377,AI-Accelerated Systems,1,0,0,Client Presentation
d6febe84-be29-46d4-8577-459ddbbfe436,Acoustic Solution Brief - Distributed Marketing,1,1,100,Solution Brief/Data Sheet
836cd98e-5d50-449b-b86f-586f29500d49,Cloud Object Storage COS Positioning Paper_2020-Jul-20,15,0,0,Messaging/Competitive Positioning
aa49b0b6-f971-4d6e-82e9-f8f00f2f47af,Blockchain,1,1,100,Solution/Product Overview
e25f56a0-242e-4400-8bed-e4909d439147,IBM Identity and Access Management Client Presentation,3,1,33.33,Sales Play
d1867f89-eb76-41dc-b68a-e759f4a7ad41,FLYER template 2020 - English_2020-Sep-22,59,21,35.59,Event
0ccacb4e-26b4-4750-af89-e6ef6b011daf,Storage Insights Guided Demo_2019-Jul-17,2,1,50,Demo
6a981f14-8f36-4d6b-b70c-3a3ec103efe4,Digital Reinvention for Banking Full Client Presentation,4,4,100,Client Presentation
5f653cde-ec04-4118-815d-9b2714c4a26a,Cloud Object Storage versus HDFS for Spark Workloads Performance Brief_2020-Aug-11,1,1,100,Solution Brief/Data Sheet
1ff014f3-4f0e-4d42-bd3d-38ccbfd95ad6,Flexible Consumption Solution Guide_2020-Jul-24,233,8,3.43,Solution/Product Overview
c4237cbe-a41c-4b46-b150-b3f5ec937e72,VersaStack Client Presentation_2019-Oct-01,1,0,0,Client Presentation
83dbf365-3181-43df-9827-87bafbb75cbc,RH_Ansible_Certified_Content_IBMZ_Client_Presentation_2020-Apr-25,2,2,100,Client Presentation
0efeb0fd-b51d-4f77-a0ea-6ab8cf478640,FileNet EVS Connector Customer Presentation,1,0,0,Client Presentation
576df9ce-f9c3-4df4-9be5-3aba6a213d44,IBM Watson Knowledge Catalog,1,1,100,Client Presentation
6a6a0b42-f059-4e56-929c-d35d0dd7d575,Invitación Semana de la Ciberseguridad 2020,29,7,24.14,Event
ae48b743-8649-4e0e-a9e8-af3be0b63519,IBM Flashsystem 5000 - Ease of Use for All Environments version_89023889USEN_2020-Apr-23,2,1,50,Research Report
4380ae6b-219c-47f5-a92f-2d8aed16e95a,BP Invitation Mail for TechU2020 - English_2020-Sep-22,10,5,50,Event
a22b22c1-8c3a-4bbf-9a3a-bf4f59834b89,Digital tour of virtual IBM Garage,1,0,0,Demo
519a4a83-5301-4cf9-903b-c84dcedff4fa,IBM Storwize V7000 Data Sheet Jul 17 2019,1,1,100,Solution Brief/Data Sheet
e2ff8413-18d7-4149-8c40-e4a30f4d0f54,Use Case - Real -Time Alerts with Event Streams (Cloud Pak for Integration),1,1,100,Use Case
1ab2a633-2c93-48d3-a555-c27e2464aabf,Think Invite and Outcomes Think Invite,4,2,50,Announcement
dc7b31a2-0401-41be-a3dd-267a9f9f7bf0,LabServices_POWER_Linux_2020-Aug-13,1,0,0,Quick Reference Guide/Conversation Guidance
901d8251-dc97-4f19-9959-6126c31e88db,VersaStack Quick Proposal for Business Partners_2019-Oct-01.doc,1,1,100,RFP/Proposal
eaa97a86-7170-447f-b171-7f9d611e3b9e,Infographic - Weather & IBM Cloud Save Lives,1,1,100,Solution Brief/Data Sheet
7b861b29-48bd-4655-b329-bb4eef0185bf,IBM Spectrum Protect Plus - Solution Brief,1,0,0,Solution Brief/Data Sheet
c2a81aea-2710-4d8e-994b-52c304bbd84e,Solution Brief - WKC on Cloud Pak for Data,1,0,0,Solution Brief/Data Sheet
2ea2bbba-fa1f-42f1-a9be-aa0c2c0c07df,IBM Spectrum Protect Plus - 10 Reasons to Choose Spectrum Protect Plus vs Veeam.docx,1,0,0,Solution/Product Overview
faee589c-350c-49f4-b93e-1feabbb22933,LabServices_POWER_PowerToCloud_2020-Sep-15,1,1,100,Quick Reference Guide/Conversation Guidance
875e49a9-4722-4872-9eec-461007d6ede0,Client Invitation Mail for TechU2020 - SPANISH_2020-Sep-22,1,1,100,Event
33299214-1e90-40ca-852c-96ad223c8fdf,IBM Study Advance overview,1,1,100,Client Presentation
89b90d20-5375-4f93-9ee4-37245f380e77,IBM Power Systems Virtual Executive Briefing OnDemand_2020-Jun-18,2,2,100,Event
5d48a2df-ee8a-4bd7-8e47-04147516e742,DBS Bank - How to make banking “invisible” with a digital transformation.,1,1,100,Case Study
e26342d0-3266-4009-914b-7b646b4a42e1,IBM Storwize V7000 Client Presentation_2019-Oct-01.pptx,1,1,100,Client Presentation
786eefff-c279-4489-b79e-ebc28db2ebf4,DataPower-201-V10,5,3,60,Seller presentation/Enablement
f8514ead-d210-4a44-9fbf-7c5a28f2d445,Storage Utility Offering Client Presentation_2020-Mar-12,3,2,66.67,Client Presentation
1cd16a0d-06f1-4e3c-bb5e-b932cea77fa4,Ansible for Power - Client Presentation_2020-May-04,5,0,0,Client Presentation
dc3d1b8a-5243-4352-b63d-9167b0a35962,The Easy Way to Run VMware Workloads on the Cloud,132,2,1.52,Client Presentation
2b0a59cf-6fc8-4dd4-8875-f9327d6ee123,IBM Public Cloud Customer Presentation: IBM Public Cloud - The most open and secure public cloud for business_July2020,5,4,80,Client Presentation
ea7a4841-16df-4470-8b1c-2df35f756b16,z15 T02 Proposal (US - English),2,0,0,RFP/Proposal
d8051553-052c-47a1-bc6a-0c7caa9878e3,Think Digital - Government sector sessions,30,0,0,Client Presentation
05bd1454-98ca-455e-b5c8-c8f3abfdcd4d,Think general client invite,67,17,25.37,Template
3feea598-d311-40bc-bf78-3294fce0c27d,LinuxONE-III-LT1-20-chart-deck__2020-Sep-22,2,2,100,Client Presentation
9f5a50fe-a944-4d9b-b043-d53b63b97374,BACSoC - Client Sales Presentation,1,0,0,Client Presentation
2f23dead-f01c-4ad1-b8b6-c22939793400,Satellite Client Deck,3,2,66.67,Client Presentation
0c046ecd-df87-4b79-b638-4ba05884afff,Think client invite - for developers,1,0,0,Template
ec388025-6ec9-45b2-b754-82a171f7fe72,CICS Tools Client Presentation_2020-May-06,1,1,100,Client Presentation
1cca1700-a7bb-4a56-b7de-178075f9587f,Register now - Think Summit Canada - English,11,3,27.27,Event
341002d9-09c9-480d-aa51-629fd9595ce1,IBM Think Summit Canada 2020 Invitation 4,2,0,0,Event
fe19993d-8175-4a24-9a8a-4b0a9c52b36c,Cloud Gaming Is Not the Future - Its the Present!,1,1,100,Client Presentation
81bfb1c4-fdb6-4660-a3bf-ca607c64eac6,Security State of the Union (IBM Public Cloud),1,0,0,Client Presentation
db730402-4cc3-4f29-95bf-30b33d6c6897,Mission Possible: Can Mission-Critical IBM Power Systems Workloads Run in the Cloud?,1,0,0,Client Presentation
489ddd3e-5cd4-4db3-a1cf-1acef7194ca6,IBM at RHS overview flyer,2,2,100,Solution/Product Overview
4b61cd13-77ef-4ed4-bc04-8771e3fd3d3e,White Paper - IBM Cloud for Financial Services,2,1,50,Solution Brief/Data Sheet
c2c2c904-ea34-4c49-ba52-77178aa39299,cxVerify Solution Brief,2,1,50,Solution Brief/Data Sheet
c995fc1f-b7c1-4a30-8eea-f152cf35ba76,PEM First Call Client Presentation,1,1,100,Client Presentation
b8a68b38-66f9-4ef2-8ba6-daa8def55b4a,SCBN IDC White Paper Executive Summary,1,1,100,Expert POV
ba90c3f7-db2d-413d-915e-0a36d57df90d,Business Partner Landing Page,1,1,100,How-to-Guide
cde4b4ca-a5bf-4749-86db-fc3c1fd804de,IZPCA_Managing Tailored Fit Pricing_2020-May-01,2,2,100,Client Presentation
3538390a-5cb3-4fbe-9de6-ea58a4608aeb,Client Presentation - IBM Cloud for Financial Services,5,1,20,Client Presentation
c78d33f0-b279-4cea-b993-401d44e4d6d8,Watson Works Business Partner Enablement for TRIRIGA,1,1,100,Solution/Product Overview
b6440a16-14ba-446f-a584-13c6cbe82dbd,ADDI Client Presentation_2020-Jan-09,1,1,100,Client Presentation
bf721627-5be0-4cd0-895b-96092a2c9f73,IA Outcomes: Explainer - Data Modernization,1,1,100,Client Presentation
8731c604-4789-4255-a7c1-efba6f63c03c,Off at #DTECH2020 ..,1,1,100,Expert POV
ae942758-0a67-47ec-8f1b-be5c6afefcaa,ODM - Business Agility White paper,1,1,100,Solution Brief/Data Sheet
eda820b5-a801-48e3-b79d-d2e9caaac468,GIA Travel Industry Executive Deck,1,1,100,Client Presentation
0580ed49-c0a1-485c-b428-9da9a1d8633d,Omni-channel experiences,1,1,100,Other
113d8a51-3195-41f4-898d-095b4beb1352,"Win - BBVA Compass (Atlas GRPSM, IA, Optim, StoredIQ)",1,1,100,Case Study
3371f847-ecf1-446f-b85c-9d031be4d238,Cloud Pak for Data System IPS-and-Roadmap-siesmic,2,0,0,Client Presentation
6045fe1b-b65b-4970-9b78-9b52717d39da,Vegetation Management Client Presentation,1,0,0,Client Presentation
9fcb8f9b-dc35-4b06-8c76-94efc8f0d7f2,IBM IT Infrastructure at Think2020 Brochure - share with your clients,87,22,25.29,News
bb594955-57dd-4243-9be9-a3bfe9fe186d,Power Systems Briefing - IBM Hybrid Cloud Invitation_2020-Jul-28,36,8,22.22,News
f9d5a5c7-d0e4-4007-8fa7-e05f07c2d0c8,IBM Visual Insights Brochure_2020-Mar-11,5,2,40,Solution Brief/Data Sheet
31707396-3a5c-4f03-bfc4-77217a50ac8f,Blockchain Founder's Handbook 3rd Edition,3,2,66.67,How-to-Guide
deb6e62d-2458-4d8f-9288-50724635dda5,Client Invitation: IBM RegTech Virtual Summit on April 15,4,1,25,Event
7b3d2dda-1683-481f-a1d9-efcdde7a8085,Advanced Analytics Assessment - EE&U,1,1,100,ROI/Assessment/Calculator
8df1b6ae-023e-4e14-941a-84e17b7e4b7a,Red Hat Ansible Automation Platform Client 1-Pager,1,1,100,Solution Brief/Data Sheet
835930a5-1c4d-468c-9ce3-c8df8ff4f493,Think Digital Summit Italy_Invito,11,0,0,News
43df3bac-7804-4311-970c-480131689c1e,OEE - Powercloud and Energy Retail investment case,1,0,0,Client Presentation
5ab5803d-3be8-499f-8f27-4b4f5d931271,S914 Data Sheet_2020-Aug-05,41,2,4.88,Solution Brief/Data Sheet
a079568d-dff6-44c1-a4fb-0714b56d83c9,BAW - Client 101 Presentation,1,1,100,Client Presentation
89b36bfc-e7e1-481d-851a-8d3c035569c5,Sprint Cloud Pak for Data Case Study,1,0,0,Case Study
a27613cc-5a67-4f08-87c6-7f122c168b1a,Win - BBVA Compass (StoredIQ),1,1,100,Case Study
fa70f294-007e-4d4c-807a-a7ed6c464480,V3.0 - Walkthrough of Cloud Pak for Data,2,1,50,Demo
395e3dcd-4bb5-42d5-8628-fee0dd665e0c,ADPs 3.0 Report (PDF Version),1,0,0,Research Report
faf6a02d-cc76-4749-897e-b9d96492928b,IBM Video Analytics Client Presentation_2019-Aug-15,2,2,100,Client Presentation
3c0e6640-ca45-4025-bc4f-9ccd6238b09b,Client 101 Presentation - Why Automation Now?,1,1,100,Client Presentation
63659812-82e6-4a14-93bd-c2b19a7e2540,The Case for Federated Security Search,1,0,0,Demo
49e578f4-5bdc-4d44-a672-58cc640cf9fb,Hybrid Multicloud Strategy for Power Systems Client Presentation_2019-Oct-01.pptx,10,2,20,Client Presentation
afa31a73-f007-4ff4-8927-1995979b5005,Client Invitation -  June 11 NA Insurance Fraud Webinar,1,1,100,Event
a6250698-4f28-4210-9410-1d138de09511,Planning Analytics Cloud Pak for Data Infographic,1,0,0,Solution/Product Overview
f5072dfa-f694-40cc-b3e7-a527db092ad8,IBM Cloud Pak for Security - Analyst Reports and Infographics ibm.com page,1,0,0,Messaging/Competitive Positioning
68778cc5-ff59-4331-a0f0-0a559e86e3c5,IBM Power System AC922 Client Presentation__2020-Mar-03,3,2,66.67,Client Presentation
b54b8c97-21de-4284-862d-26055fd71f32,IBM Automation Decision Services - Tech Preview overview,1,0,0,Client Presentation
64fafa93-8e80-4fde-a02d-841e0b50413b,2018 Gartner MQ Single Slide for UEM/MaaS360,1,1,100,Solution Brief/Data Sheet
3c831cb0-4e1f-4b31-a9b7-024e408ca3a3,The Green Light External White Paper - Empowering participation in the energy transition with blockchain,2,0,0,Expert POV
533088c7-1c90-4cc6-ab5e-8d6a8f0d9a71,Data Sheet - AC922_2019-Sep-27.pdf,1,1,100,Solution Brief/Data Sheet
c623214c-bb2a-4ae4-992c-9414b60f0e1f,revive-aging-power-grids-blockchain,1,0,0,Other
04cd0439-d549-4acb-bc9d-189a9c2f25a1,Quick Proposal  - Scale out serves - English_2019-Jul-29.doc,1,0,0,RFP/Proposal
0e8ee1f9-9f52-406b-8f2f-af3b1785880c,AC922 Client Presentation_2020-Mar-11,4,3,75,Client Presentation
4ecd53fb-ad25-4ae3-93a4-fdbacac3d188,Brochure_Making Remote Working Work,1,1,100,Use Case
08846663-32e1-4593-85ea-51a1cedf6f17,The bizarre bazaar of travel transactions,1,1,100,Research Report
ed8a4f9a-67d9-4c17-a6f0-7b4f5cd816a8,IBM Cloud Pak for Security Demo- Client Facing,2,2,100,Demo
08398913-d577-4a60-a7d4-0a0c2e3d07e8,(101) Cloud Pak for Integration Client Deck,13,11,84.62,Client Presentation
dcb14c2c-2b1a-4e44-a816-f78f608226eb,S924 Data Sheet_2020-Aug-05,2,0,0,Solution Brief/Data Sheet
860eca6d-d643-4b7d-960f-1bb37fc38107,AC922 Brochure_2019-Jul-29.pdf,5,1,20,Solution Brief/Data Sheet
c19ca733-c2e0-4e4c-98f8-34427b614837,IBM Automation Workstream Services 101,1,1,100,Client Presentation
b9a487ee-4611-4fea-b361-4a30188acb44,Webinar Recording COVID-19: Dealing with exponential growth in cybersecurity threats (April 16),1,1,100,Expert POV
489c89cf-8cae-42a1-8601-86cb92003b79,Nutanix and MongoDB Solution Brief_2019-Jul-29.pdf,1,1,100,Solution Brief/Data Sheet
df8aaa85-aa0b-440a-b88c-04be78b0c837,LC922 LC921 Client Presentation_2019-Oct-01,2,1,50,Client Presentation
0b525f04-5a6a-4067-a4b3-6f4a085befc2,"Skytap - AIX, IBM I and Linux Power Datasheet",1,0,0,Solution Brief/Data Sheet
0486d8e0-a796-4670-84f9-c95e413b10ca,Skytap - Product Tour,1,0,0,Solution/Product Overview
18aaf846-55fb-45b1-96d7-f4117f37bd18,Cloud Pak for Security Data Explorer one-page overview,1,1,100,Solution Brief/Data Sheet
a58b5c00-505d-42bc-87f2-3fdb9f442ae2,Threat Management Strategy Client Deck + Video,4,3,75,Client Presentation
1eba3395-6ae9-4345-8f60-5597bd6f0f35,Promotions and Programs Page Australia,1,1,100,Promotions/Incentives
bd8ecf6b-f117-4144-bbfc-e7a962a8a8e4,Hybrid Cloud Integration Modernize Cloud Management Client Deck,3,1,33.33,Client Presentation
9a276d4f-0f9a-45c4-92f0-b41b31878995,Think Digital invitation - Español,2,1,50,Event
54e3cf5e-5759-415e-a82e-e5207b6fbb29,Cloud Pak for Security Buyer's Guide,11,1,9.09,Solution/Product Overview
2007d43f-1082-4cbe-9c08-49ff9b5bb2f7,Video: IBM Cloud Pak for Applications in 2 minutes,1,1,100,Expert POV
86c19e71-f768-4303-95c5-6cde9d516585,Forrester Total Economic Impact - 675% ROI with CP4Auto,1,1,100,Research Report
81175f18-06d4-4e4c-b182-f02c5a7b9294,Data sheet for Product Professional Services QRadar Vulnerability Manager and QRadar Risk Manager,1,1,100,Case Study
6f5d3049-a297-4661-9e37-7b0e672cb50d,Qué es IBM GARS?  - Client Presentation Spain,1,1,100,Client Presentation
6bc38981-7ffa-4645-883d-d5f0d8683030,IBM Imaging AI Marketplace datasheet,2,2,100,Solution Brief/Data Sheet
2ac88da7-d1be-4740-b05e-4ee62e7aac19,Environmental infographics NA,1,1,100,Solution/Product Overview
c75d25c7-0c26-4fe1-966e-46beec76a416,IBM Cloud Pak for Security strategy deck,6,1,16.67,Client Presentation
0ea10899-a765-4851-a1d9-4d4f5e86327e,"Must-see sessions for Cloud, Data and AI",2,1,50,Event
24352ff8-bce6-478a-bd6c-a952c8360963,WEX and WD - Stronger 2gether,1,1,100,Client Presentation
